trans_id,account_from,account_id,account_to,amount,date,merchant_type,new_balance,operation
1,,1,Coles,72.45,2015-02-05,Fuel,5137.57,withdrawal
2,,1,,86.7,2015-02-10,Income,5224.27,deposit
3,,1,,23.15,2015-02-11,Uncategorised,5201.12,withdrawal
4,,1,,88.59,2015-02-12,Income,5289.71,deposit
5,,1,,11.28,2015-02-16,Transfer to Account,5300.99,deposit
6,,1,,27.19,2015-02-20,Transfer from Account,5273.8,withdrawal
7,,1,Caltex,15.86,2015-02-22,Fuel,5257.94,withdrawal
8,,1,Big W,13.41,2015-03-13,Shopping,5244.53,withdrawal
9,,2,Woolworths,4.88,2015-03-19,Groceries,2224.91,withdrawal
10,,1,KFC,48.73,2015-04-02,Food,5195.8,withdrawal
11,,1,KFC,61.65,2015-04-03,Food,5134.15,withdrawal
12,,1,McDonalds,12.89,2015-04-04,Food,5121.26,withdrawal
13,,1,,75.98,2015-04-09,Transfer from Account,5045.28,withdrawal
14,,2,,17.38,2015-04-13,Income,2242.29,deposit
15,,2,Coles,84.84,2015-04-14,Fuel,2157.45,withdrawal
16,,2,,48.3,2015-04-15,Income,2205.75,deposit
17,,2,Big W,19.39,2015-04-24,Shopping,2186.36,withdrawal
18,,1,,46.49,2015-04-24,Income,5091.77,deposit
19,,2,KFC,99.22,2015-04-26,Food,2087.14,withdrawal
20,,2,,31.86,2015-04-29,Transfer from Account,2055.28,withdrawal
21,,2,Coles,75.65,2015-04-30,Fuel,1979.63,withdrawal
22,,1,,23.77,2015-05-02,Uncategorised,5068.0,withdrawal
23,,2,,90.64,2015-05-05,Transfer from Account,1888.99,withdrawal
24,,2,Kmart,50.61,2015-05-08,Shopping,1838.38,withdrawal
25,,2,Event Cinemas,44.65,2015-05-13,Entertainment,1793.73,withdrawal
26,,1,Hungry Jacks,73.13,2015-05-14,Food,4994.87,withdrawal
27,,2,Myer,78.89,2015-05-19,Shopping,1714.84,withdrawal
28,,1,IGA,81.0,2015-05-19,Groceries,4913.87,withdrawal
29,,2,Lowes,63.93,2015-05-20,Shopping,1650.91,withdrawal
30,,2,,31.0,2015-05-30,Transfer from Account,1619.91,withdrawal
31,,1,,23.46,2015-06-03,Uncategorised,4890.41,withdrawal
32,,1,Coles,25.65,2015-06-09,Fuel,4864.76,withdrawal
33,,1,,83.96,2015-06-11,Transfer from Account,4780.8,withdrawal
34,,1,Shell,55.71,2015-06-16,Fuel,4725.09,withdrawal
35,,3,,47.95,2015-06-16,Transfer from Account,1887.98,withdrawal
36,,3,KFC,84.77,2015-06-16,Food,1803.21,withdrawal
37,,1,Lowes,23.61,2015-06-17,Shopping,4701.48,withdrawal
38,,2,Lowes,58.57,2015-06-19,Shopping,1561.34,withdrawal
39,,4,,75.66,2015-06-21,Transfer to Account,4866.58,deposit
40,,2,,54.44,2015-06-23,Transfer to Account,1615.78,deposit
41,,3,Priceline Pharmacy,96.35,2015-06-23,Health,1706.86,withdrawal
